kai,year,month,day,hon1,hon2,hon3,hon4,hon5,hon6,bonus
1275,2018,5,7,07,19,21,28,40,41,03
1276,2018,5,10,05,06,09,11,16,35,22
1277,2018,5,14,12,16,20,22,31,43,33
1278,2018,5,17,03,04,18,28,34,36,06
1279,2018,5,21,04,10,16,17,20,24,31
1280,2018,5,24,01,09,11,21,29,36,07
1281,2018,5,28,03,07,09,15,29,40,17
1282,2018,5,31,01,04,10,11,24,28,29
1283,2018,6,4,01,26,27,30,37,38,04
1284,2018,6,7,04,14,17,21,24,39,07
1285,2018,6,11,07,08,13,36,38,42,06
1286,2018,6,14,11,32,37,39,41,42,43
1287,2018,6,18,09,21,23,34,37,38,40
1288,2018,6,21,08,09,19,24,35,43,11
1289,2018,6,25,06,09,16,24,29,37,03
1290,2018,6,28,18,24,27,32,35,41,10
1291,2018,7,2,02,06,08,12,13,17,01
1292,2018,7,5,01,18,29,30,31,37,35
1293,2018,7,9,02,05,15,27,30,35,11
1294,2018,7,12,07,14,18,26,28,39,02
1295,2018,7,16,14,23,31,37,39,43,32
1296,2018,7,19,05,11,15,16,23,32,04
1297,2018,7,23,01,02,07,29,34,42,41
1298,2018,7,26,04,06,15,22,30,42,07
1299,2018,7,30,03,12,24,28,38,39,10
1300,2018,8,2,03,18,25,26,32,33,27
1301,2018,8,6,06,07,09,16,30,41,22
1302,2018,8,9,04,07,25,30,34,43,38
1303,2018,8,13,07,10,24,33,35,42,43
1304,2018,8,16,06,25,30,38,40,42,17
1305,2018,8,20,04,06,19,36,38,40,28
1306,2018,8,23,07,11,23,36,38,41,37
1307,2018,8,27,06,25,27,28,30,43,14
1308,2018,8,30,06,09,10,15,34,39,03
1309,2018,9,3,24,32,34,36,41,43,23
1310,2018,9,6,09,24,25,27,34,36,14
1311,2018,9,10,12,23,26,29,36,37,15
1312,2018,9,13,13,24,25,26,32,39,06
1313,2018,9,17,05,12,21,31,36,43,27
1314,2018,9,20,03,10,20,21,27,33,39
1315,2018,9,24,03,08,23,30,32,40,31
1316,2018,9,27,06,16,26,35,36,39,14
1317,2018,10,1,06,10,13,19,32,43,22
1318,2018,10,4,02,03,07,14,19,41,34
1319,2018,10,8,09,10,19,21,28,30,43
1320,2018,10,11,04,06,12,16,17,34,28
1321,2018,10,15,10,24,31,40,41,43,33
1322,2018,10,18,02,03,13,28,32,37,07
1323,2018,10,22,05,06,10,24,29,40,26
1324,2018,10,25,01,07,08,17,25,42,11
1325,2018,10,29,08,18,23,26,33,38,34
1326,2018,11,1,02,03,09,12,30,41,21
1327,2018,11,5,02,03,13,22,23,30,27
1328,2018,11,8,07,09,23,32,37,40,41
1329,2018,11,12,11,15,18,22,37,42,31
1330,2018,11,15,02,19,24,32,36,43,30
1331,2018,11,19,02,14,30,31,38,39,26
1332,2018,11,22,05,15,18,22,33,40,06
1333,2018,11,26,02,09,15,22,26,35,05
1334,2018,11,29,01,02,07,14,29,43,40
1335,2018,12,3,10,16,19,34,35,39,04
1336,2018,12,6,04,05,11,19,31,34,43
1337,2018,12,10,03,06,21,28,29,34,15
1338,2018,12,13,02,06,23,25,30,31,35
1339,2018,12,17,01,10,15,33,34,42,39
1340,2018,12,20,06,15,18,20,26,29,09
1341,2018,12,24,09,12,15,16,26,39,34
1342,2018,12,27,01,04,09,16,23,31,42
1343,2019,1,7,02,08,10,12,19,23,16
1344,2019,1,10,08,16,20,28,37,43,29
1345,2019,1,14,01,15,26,27,29,33,18
1346,2019,1,17,05,10,22,27,38,42,36
1347,2019,1,21,08,10,11,18,36,43,07
1348,2019,1,24,01,02,14,19,21,33,43
1349,2019,1,28,02,16,19,32,34,42,33
1350,2019,1,31,07,08,09,10,20,38,16
1351,2019,2,4,08,14,18,22,28,29,05
1352,2019,2,7,05,06,09,15,19,36,22
1353,2019,2,11,02,11,12,19,21,24,36
1354,2019,2,14,04,25,27,28,32,41,26
1355,2019,2,18,05,15,27,29,34,37,12
1356,2019,2,21,04,06,10,16,24,43,12
1357,2019,2,25,02,03,08,15,19,28,21
1358,2019,2,28,09,15,23,27,29,40,28
1359,2019,3,4,06,08,14,18,25,41,09
1360,2019,3,7,04,09,10,16,17,42,23
1361,2019,3,11,03,04,12,18,28,38,32
1362,2019,3,14,08,16,19,28,36,39,01
1363,2019,3,18,02,05,23,36,37,41,43
1364,2019,3,21,05,13,14,16,25,27,03
1365,2019,3,25,04,07,14,20,31,41,32
1366,2019,3,28,14,15,17,29,31,39,10
1367,2019,4,1,03,08,11,14,22,41,34
1368,2019,4,4,06,11,17,20,34,35,10
1369,2019,4,8,12,15,25,32,41,43,07
1370,2019,4,11,08,22,24,30,40,41,02
1371,2019,4,15,04,05,06,07,24,28,30
1372,2019,4,18,03,05,10,21,33,39,08
1373,2019,4,22,01,10,13,18,20,41,11
1374,2019,4,25,01,04,05,19,23,35,36
1375,2019,4,29,02,05,21,22,31,38,28
1376,2019,5,2,02,05,22,31,32,43,27
1377,2019,5,6,01,07,13,24,40,43,20
1378,2019,5,9,01,10,15,24,35,43,09
1379,2019,5,13,01,02,19,21,24,37,32
1380,2019,5,16,01,03,24,26,29,33,42
1381,2019,5,20,02,04,05,16,19,38,25
1382,2019,5,23,08,09,12,25,26,28,32
1383,2019,5,27,02,04,09,15,18,39,24
1384,2019,5,30,03,06,13,32,38,43,40
1385,2019,6,3,09,20,28,35,41,43,23
1386,2019,6,6,04,11,14,15,20,38,35
1387,2019,6,10,11,27,29,30,37,38,33
1388,2019,6,13,09,10,12,15,29,37,11
1389,2019,6,17,06,16,21,23,26,42,43
1390,2019,6,20,10,11,13,28,34,39,35
1391,2019,6,24,03,12,23,31,36,42,43
1392,2019,6,27,06,09,12,19,40,42,07
1393,2019,7,1,07,11,26,32,42,43,24
1394,2019,7,4,08,09,35,36,42,43,22
1395,2019,7,8,05,16,18,27,30,43,25
1396,2019,7,11,03,07,11,15,23,41,21
1397,2019,7,15,09,18,19,21,25,26,07
1398,2019,7,18,23,29,34,35,40,43,42
1399,2019,7,22,07,20,21,33,41,43,08
1400,2019,7,25,08,10,26,31,34,39,36
1401,2019,7,29,02,13,23,24,25,33,36
1402,2019,8,1,10,24,26,33,36,42,28
1403,2019,8,5,01,03,10,27,34,41,22
1404,2019,8,8,02,17,29,37,38,39,05
1405,2019,8,12,03,04,06,19,23,24,42
1406,2019,8,15,20,24,27,29,34,35,43
1407,2019,8,19,10,13,19,28,33,39,15
1408,2019,8,22,02,17,24,26,34,43,32
1409,2019,8,26,05,06,08,20,22,25,13
1410,2019,8,29,08,14,17,25,36,41,23
1411,2019,9,2,02,05,07,20,25,28,03
1412,2019,9,5,02,19,24,25,32,42,08
1413,2019,9,9,07,13,17,21,24,26,12
1414,2019,9,12,12,19,21,26,40,41,20
1415,2019,9,16,01,03,07,34,39,40,33
1416,2019,9,19,02,09,10,15,24,36,13
1417,2019,9,23,03,10,25,26,27,31,05
1418,2019,9,26,04,21,32,35,42,43,15
1419,2019,9,30,05,10,11,12,21,37,41
1420,2019,10,3,01,02,14,16,22,28,04
1421,2019,10,7,02,14,20,23,37,43,30
1422,2019,10,10,12,14,17,20,24,30,39
1423,2019,10,14,11,24,29,36,37,42,13
1424,2019,10,17,06,07,25,26,33,36,19
1425,2019,10,21,01,24,28,33,35,42,27
1426,2019,10,24,04,13,17,19,30,43,24
1427,2019,10,28,01,07,25,26,38,41,31
1428,2019,10,31,16,18,19,34,35,36,06
1429,2019,11,4,04,08,13,18,21,23,22
1430,2019,11,7,04,07,09,12,20,28,03
1431,2019,11,11,02,27,28,33,38,40,30
1432,2019,11,14,04,05,15,32,33,43,13
1433,2019,11,18,03,05,12,16,38,42,06
1434,2019,11,21,02,20,30,38,39,40,04
1435,2019,11,25,02,04,16,21,22,40,09
1436,2019,11,28,03,07,17,18,30,36,33
1437,2019,12,2,03,11,24,25,37,40,14
1438,2019,12,5,02,05,06,20,33,38,22
1439,2019,12,9,11,17,23,28,34,41,04
1440,2019,12,12,01,07,20,31,41,42,28
1441,2019,12,16,12,22,24,33,35,42,36
1442,2019,12,19,12,21,35,36,40,43,39
1443,2019,12,23,02,04,08,10,22,33,28
1444,2019,12,26,11,20,24,25,30,37,14
1445,2019,12,30,03,14,24,29,30,42,21
1446,2020,1,9,02,05,11,20,21,32,13
1447,2020,1,13,02,09,12,13,14,22,10
1448,2020,1,16,10,12,25,29,32,41,40
1449,2020,1,20,06,19,20,26,34,38,04
1450,2020,1,23,24,25,26,27,34,36,03
1451,2020,1,27,02,06,10,20,24,43,34
1452,2020,1,30,17,19,29,31,37,39,35
1453,2020,2,3,10,22,26,27,28,41,39
1454,2020,2,6,03,15,19,34,37,40,41
1455,2020,2,10,01,10,12,22,34,43,23
1456,2020,2,13,02,18,19,24,29,31,33
1457,2020,2,17,01,03,11,17,20,37,29
1458,2020,2,20,04,16,19,22,26,29,06
1459,2020,2,24,02,17,19,24,28,29,07
1460,2020,2,27,03,06,10,15,29,30,04
1461,2020,3,2,05,07,08,18,22,26,24
1462,2020,3,5,04,18,19,28,33,36,09
1463,2020,3,9,18,29,32,34,35,39,36
1464,2020,3,12,08,13,14,18,29,31,23
1465,2020,3,16,11,15,16,24,28,38,03
1466,2020,3,19,06,10,15,18,32,40,35
1467,2020,3,23,03,14,16,25,26,38,07
1468,2020,3,26,04,08,15,24,25,31,26
1469,2020,3,30,04,09,10,13,24,27,22
1470,2020,4,2,04,08,14,16,39,40,23
1471,2020,4,6,01,03,08,32,37,43,24
1472,2020,4,9,01,06,07,09,23,40,43
1473,2020,4,13,01,05,06,27,33,38,11
1474,2020,4,16,04,06,08,22,27,32,26
1475,2020,4,20,06,07,09,20,21,27,02
1476,2020,4,23,06,22,38,40,41,42,35
1477,2020,4,27,04,13,14,25,27,32,01
1478,2020,4,30,07,12,15,21,40,42,32
